Datetime,ID,Type
2008-01-01T07:28,44,prox-in-building
2008-01-01T08:31,44,prox-in-classified
2008-01-01T09:23,38,prox-in-building
2008-01-01T09:56,44,prox-out-classified
2008-01-01T11:06,44,prox-in-building
2008-01-01T11:15,38,prox-in-classified
2008-01-01T12:14,38,prox-out-classified
2008-01-01T14:26,38,prox-in-building
2008-01-02T07:11,17,prox-in-building
2008-01-02T07:24,8,prox-in-building
2008-01-02T07:32,44,prox-in-building
2008-01-02T07:36,56,prox-in-building
2008-01-02T07:44,44,prox-in-classified
2008-01-02T07:46,17,prox-in-classified
2008-01-02T07:51,42,prox-in-building
2008-01-02T07:51,39,prox-in-building
2008-01-02T07:55,35,prox-in-building
2008-01-02T08:07,45,prox-in-building
2008-01-02T08:08,18,prox-in-building
2008-01-02T08:21,28,prox-in-building
2008-01-02T08:22,17,prox-out-classified
2008-01-02T08:23,44,prox-out-classified
2008-01-02T08:28,30,prox-in-building
2008-01-02T08:34,9,prox-in-building
2008-01-02T08:36,4,prox-in-building
2008-01-02T08:38,40,prox-in-building
2008-01-02T08:40,34,prox-in-building
2008-01-02T08:42,58,prox-in-building
2008-01-02T08:43,41,prox-in-building
2008-01-02T08:43,39,prox-in-classified
2008-01-02T08:45,26,prox-in-building
2008-01-02T08:45,0,prox-in-building
2008-01-02T08:46,50,prox-in-building
2008-01-02T08:46,11,prox-in-building
2008-01-02T08:52,19,prox-in-building
2008-01-02T08:54,55,prox-in-building
2008-01-02T08:56,49,prox-in-building
2008-01-02T08:57,29,prox-in-building
2008-01-02T08:58,21,prox-in-building
2008-01-02T09:01,44,prox-in-classified
2008-01-02T09:02,16,prox-in-building
2008-01-02T09:02,22,prox-in-building
2008-01-02T09:04,46,prox-in-building
2008-01-02T09:08,14,prox-in-building
2008-01-02T09:10,36,prox-in-building
2008-01-02T09:11,52,prox-in-building
2008-01-02T09:15,44,prox-out-classified
2008-01-02T09:16,1,prox-in-building
2008-01-02T09:17,47,prox-in-building
2008-01-02T09:17,44,prox-in-classified
2008-01-02T09:18,10,prox-in-building
2008-01-02T09:18,15,prox-in-building
2008-01-02T09:18,53,prox-in-building
2008-01-02T09:22,39,prox-out-classified
2008-01-02T09:24,8,prox-in-classified
2008-01-02T09:24,5,prox-in-building
2008-01-02T09:26,3,prox-in-building
2008-01-02T09:27,32,prox-in-building
2008-01-02T09:28,23,prox-in-building
2008-01-02T09:29,33,prox-in-building
2008-01-02T09:31,58,prox-in-classified
2008-01-02T09:32,53,prox-in-classified
2008-01-02T09:33,38,prox-in-building
2008-01-02T09:33,54,prox-in-building
2008-01-02T09:35,41,prox-in-classified
2008-01-02T09:41,19,prox-in-classified
2008-01-02T09:41,57,prox-in-building
2008-01-02T09:47,29,prox-in-classified
2008-01-02T09:48,24,prox-in-building
2008-01-02T09:49,44,prox-out-classified
2008-01-02T09:57,42,prox-in-classified
2008-01-02T09:58,8,prox-out-classified
2008-01-02T09:59,14,prox-in-classified
2008-01-02T10:00,58,prox-out-classified
2008-01-02T10:00,54,prox-in-classified
2008-01-02T10:01,51,prox-in-classified
2008-01-02T10:02,13,prox-in-building
2008-01-02T10:09,41,prox-out-classified
2008-01-02T10:12,37,prox-in-building
2008-01-02T10:12,43,prox-in-building
2008-01-02T10:16,19,prox-out-classified
2008-01-02T10:17,28,prox-in-classified
2008-01-02T10:20,49,prox-in-classified
2008-01-02T10:21,2,prox-in-building
2008-01-02T10:22,14,prox-out-classified
2008-01-02T10:23,20,prox-in-building
2008-01-02T10:24,53,prox-out-classified
2008-01-02T10:25,30,prox-in-classified
2008-01-02T10:27,41,prox-in-classified
2008-01-02T10:27,49,prox-out-classified
2008-01-02T10:28,6,prox-in-building
2008-01-02T10:34,27,prox-in-building
2008-01-02T10:37,34,prox-in-classified
2008-01-02T10:38,59,prox-in-building
2008-01-02T10:39,21,prox-in-classified
2008-01-02T10:39,52,prox-in-classified
2008-01-02T10:40,30,prox-out-classified
2008-01-02T10:43,35,prox-in-classified
2008-01-02T10:43,21,prox-out-classified
2008-01-02T10:44,11,prox-in-classified
2008-01-02T10:46,54,prox-out-classified
2008-01-02T10:50,26,prox-in-classified
2008-01-02T10:50,17,prox-in-classified
2008-01-02T10:50,9,prox-in-classified
2008-01-02T10:54,45,prox-in-classified
2008-01-02T10:54,30,prox-in-classified
2008-01-02T10:55,56,prox-in-classified
2008-01-02T10:56,5,prox-in-classified
2008-01-02T10:56,0,prox-in-classified
2008-01-02T11:00,5,prox-out-classified
2008-01-02T11:00,22,prox-in-classified
2008-01-02T11:00,45,prox-out-classified
2008-01-02T11:06,7,prox-in-classified
2008-01-02T11:07,41,prox-out-classified
2008-01-02T11:08,45,prox-in-classified
2008-01-02T11:08,30,prox-out-classified
2008-01-02T11:09,51,prox-out-classified
2008-01-02T11:10,18,prox-in-classified
2008-01-02T11:10,31,prox-in-building
2008-01-02T11:11,25,prox-in-building
2008-01-02T11:12,29,prox-out-classified
2008-01-02T11:12,42,prox-out-classified
2008-01-02T11:14,35,prox-out-classified
2008-01-02T11:16,56,prox-out-classified
2008-01-02T11:16,16,prox-in-classified
2008-01-02T11:17,7,prox-out-classified
2008-01-02T11:18,39,prox-in-classified
2008-01-02T11:19,16,prox-out-classified
2008-01-02T11:21,46,prox-in-classified
2008-01-02T11:21,41,prox-in-classified
2008-01-02T11:22,47,prox-in-classified
2008-01-02T11:23,4,prox-in-classified
2008-01-02T11:23,14,prox-in-classified
2008-01-02T11:23,17,prox-out-classified
2008-01-02T11:25,43,prox-in-classified
2008-01-02T11:25,51,prox-in-classified
2008-01-02T11:27,51,prox-out-classified
